+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; u_apb_subsystem|gen_apb_uart_2.u_apb_uart_2                          ; 53    ; 18             ; 12           ; 18             ; 41     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_uart_1.u_apb_uart_1                          ; 53    ; 18             ; 12           ; 18             ; 41     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_uart_0.u_apb_uart_0                          ; 53    ; 18             ; 12           ; 18             ; 41     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_gpio_0.u_gpio_0|x_gpio_ctrl                  ; 76    ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_gpio_0.u_gpio_0|x_gpio_apbif                 ; 66    ; 24             ; 24           ; 24             ; 97     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_gpio_0.u_gpio_0                              ; 43    ; 3              ; 0            ; 3              ; 42     ; 3               ; 3             ; 3               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|u_apb_slave_mux                                      ; 549   ; 284            ; 136          ; 284            ; 50     ; 284             ; 284           ; 284             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|u_ahb_to_apb                                         ; 97    ; 3              ; 4            ; 3              ; 93     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem                                                      ; 206   ; 137            ; 1            ; 137            ; 40     ; 137             ; 137           ; 137             ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; u_sram                                                               ; 74    ; 1              ; 18           ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_rom                                                                ; 74    ; 1              ; 18           ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
